Week,indiana,minnesota,new_york,nevada,arizona,illinois,georgia,texas,district_of_columbia,washington,sparks,valkyries
2025-03-23,19,0,11,0,0,35,0,28,0,0,32,0
2025-03-30,14,0,11,0,0,19,0,44,0,0,25,0
2025-04-06,18,0,10,0,0,13,0,64,0,0,34,0
2025-04-13,18,0,10,0,0,35,0,100,100,0,31,0
2025-04-20,12,0,0,0,0,13,0,24,0,0,15,0
2025-04-27,20,4,7,0,0,13,0,16,0,70,22,0
2025-05-04,27,0,16,53,0,22,0,13,0,0,28,0
2025-05-11,30,11,21,28,0,25,0,29,0,0,66,0
2025-05-18,70,18,26,32,100,100,100,26,0,68,75,45
2025-05-25,82,21,29,22,0,75,50,22,0,50,100,22
2025-06-01,57,13,16,15,0,36,0,21,0,36,51,42
2025-06-08,76,11,29,30,0,73,48,18,0,31,44,35
2025-06-15,92,27,28,46,0,57,39,21,0,33,31,33
2025-06-22,71,20,18,34,0,40,38,38,0,46,36,26
2025-06-29,79,24,15,15,0,36,0,23,0,0,42,32
2025-07-06,63,16,21,42,0,72,0,19,0,37,30,43
2025-07-13,100,13,43,26,0,63,36,33,0,0,28,57
2025-07-20,62,23,50,31,0,42,0,26,0,100,33,31
2025-07-27,46,21,66,0,85,58,33,26,0,0,68,30
2025-08-03,43,52,30,28,0,37,0,17,0,38,54,24
2025-08-10,50,20,23,19,0,29,0,17,0,38,46,74
2025-08-17,32,23,23,22,0,32,69,22,0,0,23,57
2025-08-24,42,21,33,0,0,28,0,18,0,0,24,37
2025-08-31,47,8,13,0,0,56,39,10,0,43,25,100
2025-09-07,21,8,13,22,0,58,0,11,0,0,21,45
2025-09-14,23,14,100,15,0,44,55,13,0,49,10,50
2025-09-21,20,65,15,53,47,23,0,7,0,0,0,16
2025-09-28,22,100,0,44,55,15,0,7,0,0,6,16
2025-10-05,12,13,9,100,95,20,0,9,0,0,6,0
2025-10-12,13,0,0,43,0,49,0,7,0,0,9,0
2025-10-19,9,0,0,0,0,23,0,14,0,0,14,0
2025-10-26,11,0,0,0,0,17,0,5,0,0,10,0
2025-11-02,11,4,0,0,0,9,0,7,0,0,11,0
2025-11-09,15,4,0,0,0,10,0,6,0,0,12,0
2025-11-16,9,0,0,0,0,13,0,6,0,0,12,0
2025-11-23,11,0,7,0,0,13,0,9,0,0,9,0
2025-11-30,10,0,0,0,0,9,0,7,0,0,12,0
2025-12-07,13,0,0,0,0,10,0,6,0,0,11,0
2025-12-14,10,0,0,0,0,7,0,8,0,0,13,0
2025-12-21,12,0,0,0,0,11,0,6,0,0,18,0
2025-12-28,13,0,0,0,0,19,0,6,0,0,18,0
2026-01-04,10,0,0,0,61,13,0,8,0,0,14,20
2026-01-11,9,0,0,0,0,9,0,5,0,0,8,0
2026-01-18,12,0,0,0,0,9,0,5,0,0,9,0
2026-01-25,10,0,11,0,0,7,0,7,0,0,9,0
2026-02-01,12,0,0,0,0,10,0,6,0,0,31,0
2026-02-08,9,0,0,0,0,9,0,6,0,0,9,16
2026-02-15,7,0,9,0,0,10,0,5,0,0,11,0
2026-02-22,8,0,0,0,0,13,0,4,0,0,12,0
2026-03-01,10,0,14,0,0,11,0,7,0,0,19,0
2026-03-08,14,1,6,7,0,11,5,5,0,0,12,4
2026-03-15,16,2,8,2,0,13,5,6,0,4,15,3
