msa,pop_total,pop_female_18_44,pop_18_34,pct_black,pct_hispanic,median_income
"Minneapolis-St. Paul-Bloomington, MN-WI",3713668,1861679,406865,9.17%,6.83%," $99,833 "
"Los Angeles-Long Beach-Anaheim, CA",12974487,6548438,1557498,6.19%,44.97%," $95,958 "
"Seattle-Tacoma-Bellevue, WA",4061920,2009740,487121,6.16%,11.67%," $115,177 "
"San Francisco-Oakland-Fremont, CA",4645029,2330281,515818,6.84%,23.20%," $136,027 "
"Indianapolis-Carmel-Greenwood, IN",2130055,1083136,244296,15.15%,8.91%," $79,852 "
"New York-Newark-Jersey City, NY-NJ",19798537,10150843,2253896,15.84%,25.71%," $99,155 "
"Phoenix-Mesa-Chandler, AZ",5028754,2518021,575795,5.66%,31.07%," $88,301 "
"Las Vegas-Henderson-North Las Vegas, NV",2329548,1163836,260368,12.03%,31.85%," $76,472 "
"Chicago-Naperville-Elgin, IL-IN",9371595,4757901,1070706,15.98%,24.08%," $90,887 "
"Hartford-West Hartford-East Hartford, CT",1153112,587506,128304,11.31%,16.18%," $95,118 "
"Dallas-Fort Worth-Arlington, TX",7985590,4031384,961263,16.31%,29.69%," $90,275 "
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6318377,3210855,721366,24.57%,18.04%," $126,684 "
"Atlanta-Sandy Springs-Roswell, GA",6256377,3220306,737974,33.70%,12.42%," $89,724 "
