Category: All categories

Week,caitlin clark: (Indiana)
2025-03-23,19
2025-03-30,14
2025-04-06,18
2025-04-13,18
2025-04-20,12
2025-04-27,20
2025-05-04,27
2025-05-11,30
2025-05-18,70
2025-05-25,82
2025-06-01,57
2025-06-08,76
2025-06-15,92
2025-06-22,71
2025-06-29,79
2025-07-06,63
2025-07-13,100
2025-07-20,62
2025-07-27,46
2025-08-03,43
2025-08-10,50
2025-08-17,32
2025-08-24,42
2025-08-31,47
2025-09-07,21
2025-09-14,23
2025-09-21,20
2025-09-28,22
2025-10-05,12
2025-10-12,13
2025-10-19,9
2025-10-26,11
2025-11-02,11
2025-11-09,15
2025-11-16,9
2025-11-23,11
2025-11-30,10
2025-12-07,13
2025-12-14,10
2025-12-21,12
2025-12-28,13
2026-01-04,10
2026-01-11,9
2026-01-18,12
2026-01-25,10
2026-02-01,12
2026-02-08,9
2026-02-15,7
2026-02-22,8
2026-03-01,10
2026-03-08,14
2026-03-15,16
2026-03-22,13
