Category: All categories

Week,napheesa collier: (Minnesota)
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,0
2025-04-20,0
2025-04-27,4
2025-05-04,0
2025-05-11,11
2025-05-18,18
2025-05-25,21
2025-06-01,13
2025-06-08,11
2025-06-15,27
2025-06-22,20
2025-06-29,24
2025-07-06,16
2025-07-13,13
2025-07-20,23
2025-07-27,21
2025-08-03,52
2025-08-10,20
2025-08-17,23
2025-08-24,21
2025-08-31,8
2025-09-07,8
2025-09-14,14
2025-09-21,65
2025-09-28,100
2025-10-05,13
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,4
2025-11-09,4
2025-11-16,0
2025-11-23,0
2025-11-30,0
2025-12-07,0
2025-12-14,0
2025-12-21,0
2025-12-28,0
2026-01-04,0
2026-01-11,0
2026-01-18,0
2026-01-25,0
2026-02-01,0
2026-02-08,0
2026-02-15,0
2026-02-22,0
2026-03-01,0
2026-03-08,1
2026-03-15,2
2026-03-22,1
