Category: All categories

Week,breanna stewart: (New York)
2025-03-23,11
2025-03-30,11
2025-04-06,10
2025-04-13,10
2025-04-20,0
2025-04-27,7
2025-05-04,16
2025-05-11,21
2025-05-18,26
2025-05-25,29
2025-06-01,16
2025-06-08,29
2025-06-15,28
2025-06-22,18
2025-06-29,15
2025-07-06,21
2025-07-13,43
2025-07-20,50
2025-07-27,66
2025-08-03,30
2025-08-10,23
2025-08-17,23
2025-08-24,33
2025-08-31,13
2025-09-07,13
2025-09-14,100
2025-09-21,15
2025-09-28,0
2025-10-05,9
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,0
2025-11-09,0
2025-11-16,0
2025-11-23,7
2025-11-30,0
2025-12-07,0
2025-12-14,0
2025-12-21,0
2025-12-28,0
2026-01-04,0
2026-01-11,0
2026-01-18,0
2026-01-25,11
2026-02-01,0
2026-02-08,0
2026-02-15,9
2026-02-22,0
2026-03-01,14
2026-03-08,6
2026-03-15,8
2026-03-22,7
