Category: All categories

Week,washington mystics: (District of Columbia)
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,45
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,34
2025-05-18,54
2025-05-25,100
2025-06-01,49
2025-06-08,54
2025-06-15,69
2025-06-22,92
2025-06-29,55
2025-07-06,46
2025-07-13,44
2025-07-20,43
2025-07-27,55
2025-08-03,58
2025-08-10,90
2025-08-17,0
2025-08-24,0
2025-08-31,0
2025-09-07,0
2025-09-14,0
2025-09-21,0
2025-09-28,0
2025-10-05,0
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,0
2025-11-09,0
2025-11-16,0
2025-11-23,0
2025-11-30,0
2025-12-07,0
2025-12-14,0
2025-12-21,0
2025-12-28,0
2026-01-04,64
2026-01-11,0
2026-01-18,0
2026-01-25,0
2026-02-01,0
2026-02-08,0
2026-02-15,0
2026-02-22,0
2026-03-01,0
2026-03-08,7
2026-03-15,16
2026-03-22,26
