Category: All categories

Week,wnba: (Arizona)
2025-03-16,3
2025-03-23,3
2025-03-30,3
2025-04-06,5
2025-04-13,12
2025-04-20,2
2025-04-27,4
2025-05-04,8
2025-05-11,13
2025-05-18,24
2025-05-25,22
2025-06-01,18
2025-06-08,18
2025-06-15,24
2025-06-22,24
2025-06-29,23
2025-07-06,24
2025-07-13,26
2025-07-20,26
2025-07-27,22
2025-08-03,25
2025-08-10,22
2025-08-17,18
2025-08-24,18
2025-08-31,19
2025-09-07,16
2025-09-14,100
2025-09-21,26
2025-09-28,44
2025-10-05,36
2025-10-12,5
2025-10-19,2
2025-10-26,2
2025-11-02,2
2025-11-09,2
2025-11-16,2
2025-11-23,3
2025-11-30,2
2025-12-07,2
2025-12-14,2
2025-12-21,1
2025-12-28,2
2026-01-04,2
2026-01-11,2
2026-01-18,2
2026-01-25,2
2026-02-01,2
2026-02-08,2
2026-02-15,2
2026-02-22,3
2026-03-01,2
2026-03-08,3
2026-03-15,4
