"Team","Num Games","Low","High","Total","Average"
"Golden State Valkyries",23,18064,18543,415951,18084.82608695652
"Indiana Fever",25,15012,17274,413536,16541.44
"New York Liberty",23,14774,17532,376124,16353.217391304348
"Los Angeles Sparks",22,10581,18199,273709,12441.318181818182
"Phoenix Mercury",28,8024,17071,338932,12104.714285714286
"Seattle Storm",23,9091,18343,272877,11864.217391304348
"Las Vegas Aces",29,10266,18547,327103,11279.413793103447
"Minnesota Lynx",25,7808,16421,248834,9953.36
"Chicago Sky",22,6572,19601,199601,9072.772727272728
"Connecticut Sun",22,6848,19156,190369,8653.136363636364
"Dallas Wings",22,5228,20409,159998,7272.636363636364
"Washington Mystics",22,4200,11183,116666,5303
"Atlanta Dream",24,3265,17044,106160,4423.333333333333
